Spotify,Band → ID
http://open.spotify.com/artist/6PNBEkhKtHML5WjpnGZ7Sh?si=4clTfo_TQO-6pah_rUcp_g,1269
https://open.spotify.com/artist/2eGNcpWIZlP89YfKRDRhrk?si=7d4RTxc1STWg4Ww5g-pApw,1256
https://open.spotify.com/artist/0o7Q7qSqqhP4EcZ5GsyjBY,1257
https://open.spotify.com/artist/2pM7xmsP5Whj2ZZzEGQ89O?si=22u6I1cVQie5LRVDOgR7Tw,1263
https://open.spotify.com/artist/3MhFKqfJmFuzjPmy4HuIiy,1255
https://open.spotify.com/artist/4pFNPXd2phUG2uqeSlc8oC?si=iUWDmsy2QiquNuqUSCTDTg,1281
https://open.spotify.com/album/77UNN3Nd0ROecuZX1Fu2zu?si=48D68zwFQcWDhxXUt_eqKw,2075
https://open.spotify.com/artist/2MloReKp4tYcuUt5SptKPF,4107
https://open.spotify.com/artist/5EUda9tDrCwoUl5JHlz7ic,1222
https://open.spotify.com/artist/14MtSANT6PClR71nsqXhy3?si=rNT-il9kS8WsXcD7DqYYSg,1355
https://open.spotify.com/artist/6MsCfqVfYdqNtpeHG26tTB?si=2Ajz2KWnTu22MRIY7o0t8A,1309
https://open.spotify.com/artist/1vaEAUeJO4uGdheUjP0vUs,1046
https://open.spotify.com/artist/13kjCBVrQsE6At6tA620Gv?si=OuRzEpfRTKeNQiks6D3iag,6160
https://open.spotify.com/artist/7B3GqyBP3HHX1qpomD8ccu,1165
https://open.spotify.com/artist/00V1lnk5EN9AiiJfRihgjE,1297
https://open.spotify.com/artist/0b2KSLsps4TCjbvmAT6pEb?si=XufpE7xuQH-TI803c6DRfA,1321
https://open.spotify.com/artist/7MKNf42txJZ7ltE6y4V9ec,1354
https://open.spotify.com/artist/1jN5j3695yi352ncqQ7XXg?si=zBzu8nNqTcaanBA5KrIdOg,1312
https://open.spotify.com/artist/3ovH1P8b0k6k67DcN8rjaG,1345
https://open.spotify.com/artist/0RRHsaFaNgJg9vHSWsQ4kg?si=4U5RGas9RACsTgBMgafp0w,1344
https://open.spotify.com/album/4kYZNHMAMsNFtshJli9HBL?si=tievXbEISMWgFFKzxTLrwA,7741
https://open.spotify.com/album/7LX7Ykypx2l5mSdb4j5rXM?si=ZkioSXixSgyZG-a56D9l7w,1429
https://open.spotify.com/artist/7aMoaBwyGartKwKHYyc0Vz?si=gVHcKOX4Riic94vlBrq5TQ,1341
https://open.spotify.com/artist/7EraXXUWdNCrhTDZYdz6JJ?si=SxtgDEyhRyWdjxz2fGImbw,1394
open.spotify.com/artist/5DIQ8PaQ21m4G3ao0JG84N,1397
https://open.spotify.com/artist/13VvtCbbIey9hqzOxXI0FS?si=szKYNEO3SJaKJQBDds6Prw,1383
https://open.spotify.com/artist/5dlLVRN2g2vEKhpMcKiRgg,6231
https://open.spotify.com/artist/2IanyNCnSmoWWssEKKzTb2,1009
https://open.spotify.com/artist/5icgurqndlJVHs13yf2zIG,1417
https://open.spotify.com/album/03pcEOkrR2uUlYsc5gWxBp,1399
https://open.spotify.com/album/0ukG9x6SCQV89DUQ7bUJWu,1428
https://open.spotify.com/album/2L1zFKksH45smUPJnlb0gg,1401
https://open.spotify.com/artist/2iGwIqfIXRskkGakunO9sf,1431
https://open.spotify.com/track/2Ze0myeS8xJCiNURBZICui?si=smJsnS_dQr6qFPIdq99IIA,1434
https://open.spotify.com/artist/6LOakJY0hu9OaXNowLEzbb?si=j18eGnC6R4qxBuNZC52Mdw,6161
https://open.spotify.com/artist/5lYz2WSKe41QVPU1PwZDa8,1471
https://open.spotify.com/artist/5Gk8TXAgkY02R4PPtVrhvC?si=KZD-kisoSZ2mTJ_0PaM8uQ,1456
https://open.spotify.com/artist/7wefWmWvcWwQI1J4L6M33t?si=tGIBxuGTSJSyjhSEU_i5hA,1843
https://open.spotify.com/artist/6xCsF6VpvkE6aY9ra3rDwE,1454
https://open.spotify.com/artist/6ZTMt1Uy2aq8kgmmmi2dvQ?si=Q_esKIgaSCugOCl4V4f_Ew,1461
https://open.spotify.com/artist/5FsoNugZNOMTFr6IuPdfIq?si=RPu3cp_aQ-6B5y3sE0sjxg,1419
https://open.spotify.com/album/0GQIoHHbdShOW1wIOFdjFf,1116
https://open.spotify.com/track/3aL5Djfy4f84KKUjI05oqA?si=ompJF2xASnODUbxqxnOXog,1445
https://open.spotify.com/track/6hwFLTYE1JR3NBnVnabgmh,1261
https://open.spotify.com/artist/3igoTBIv0HgqMvODMgCCQt,1496
https://open.spotify.com/artist/5TQsF3xcEguLpNZbi6WOO3,1539
https://open.spotify.com/artist/7MnexDILlko7iWVbAdJLvs?si=VXTdv4uxTm2dso3vG1CyFw,1521
https://open.spotify.com/artist/6mzpKFmbuLhiov6SLQYdYX,1540
https://open.spotify.com/artist/3c8tCi85h0sb2DrlUqNVIA,1555
https://open.spotify.com/artist/40fNDsomPr3cyfq2badCX5?si=tBGz0rMcQsqUPAFAZUaxVQ,11843
https://open.spotify.com/artist/2HxeUs7LBN0BGE4QhZALpu,1596
https://open.spotify.com/artist/06iwT0ImMssArObHsWDbYm?si=V2O6GMGRRUu3EW-tbpr_rg,1079
https://open.spotify.com/artist/3qwrdf22vczayOiVeJVRCQ?si=fvKccH9SRU6wf2ltrGYmBQ,1585
https://open.spotify.com/artist/2eCUHxLIKAizSuvhy3351v?si=jYlXBkNXRCqV-ZbwMfbUtQ,1588
https://open.spotify.com/artist/30ISUZ5Xkto4CyeClftpG8?si=7nyiz1tVR06ALp5A1LuXLQ,921
https://open.spotify.com/artist/6m5s93DwSnR0Q8U8MAI0Z7,2127
https://open.spotify.com/artist/0ZpuQjG6Xs4ZlIMUQshOgc?si=hUnAMDxBQgqo3PYRAxMbOA,1897
https://open.spotify.com/album/59TftVpNovOQvoGmdPecob,1909
https://open.spotify.com/artist/3IFwG1Z3MwND5Z4ih0APnD?si=ttHXq8feTimUgrPoJg8ryQ,1611
